category,name,url,Image URL,Type,Base spirit,Ingredients,Preparation,Served,Standard drinkware,Standard garnish
Rum,Macuá,https://en.wikipedia.org/wiki/Macu%C3%A1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Macua.jpg/250px-Macua.jpg,Cocktail,Rum,2 parts white rum white rum (preferably Flor de Caña) 2 parts guava juice 1 part lemon juice sugar to taste,Blend the ingredients with 1 cup of ice and serve well chilled. Garnish with an orange slice,On the rocks,Highball glass,lemonslice
Rum,Mai Tai,https://en.wikipedia.org/wiki/Mai_Tai,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Mai_Tai_at_Trader_Vic%27s_Emeryville.jpg/250px-Mai_Tai_at_Trader_Vic%27s_Emeryville.jpg,Cocktail,Rum,30 mL amber Jamaican rum amber Jamaican rum 30 mL Martinique molasses rhum 15 mL orange curaçao 15 mL orgeat syrup orgeat syrup (almond) 30 mL fresh lime juice lime juice 7.5 mL simple syrup simple syrup,Add all ingredients into a shaker with ice. Shake and pour into a double rocks glass or a highball glass.,shaved or crushed ice,Old fashioned glass,"pineapple spear, mint leaves, and lime peel"
Rum,Mary Pickford,https://en.wikipedia.org/wiki/Mary_Pickford_(cocktail),https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Mary_Pickford_Cocktail.jpg/250px-Mary_Pickford_Cocktail.jpg,Cocktail,Rum,4.5 cL white rum 4.5 cL fresh pineapple juice 0.5 cL Grenadine 0.75 cL Maraschino,Shake and strain into a chilled large cocktail glass,"Straight up: chilled, without ice",Cocktail glass,
Rum,Mojito,https://en.wikipedia.org/wiki/Mojito,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/15-09-26-RalfR-WLC-0072.jpg/250px-15-09-26-RalfR-WLC-0072.jpg,Cocktail,Rum,45 mL white rum white rum 20 mL fresh lime juice lime juice 6 sprigs of mint 2 teaspoons white cane sugar (or 20 mL of sugar syrup sugar syrup ) Soda water,Mix mint sprigs with sugar and lime juice. Add splash of soda water and fill the glass with ice. Pour the rum and top with soda water. Light stir to involve all ingredients.,On the rocks: poured over ice,Collins glass,sprigs of mint or slice of lime
Rum,Mr. Bali Hai,https://en.wikipedia.org/wiki/Mr._Bali_Hai,,,,1 1/2 oz of dark Jamaican rum 1 oz light Puerto Rican rum 3/4 oz coffee flavored brandy 1 1/2 oz pineapple juice (unsweetened) 1 oz lemon juice 1/2 oz of sugar syrup,,Blended with crushed ice,Special: Mr. Bali Hai mug,Two straws
Rum,Painkiller,https://en.wikipedia.org/wiki/Painkiller_(cocktail),https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Pussers_Rum_Painkiller.JPG/250px-Pussers_Rum_Painkiller.JPG,Cocktail,Rum,2–4 part(s) Rum 4 parts pineapple juice 1 part cream of coconut cream of coconut 1 part orange juice orange juice Sprinkle with nutmeg,Shake and garnish,On the rocks: poured over ice,,Nutmeg
Rum,Piña colada,https://en.wikipedia.org/wiki/Pi%C3%B1a_colada,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Pi%C3%B1a_Colada.jpg/250px-Pi%C3%B1a_Colada.jpg,Cocktail,Rum,50 mL white rum 30 mL coconut cream coconut cream 50 mL fresh pineapple juice,"Blend all the ingredients with ice in an electric blender, pour into a large glass, and serve with straws.",Frozen: blended with ice,Poco Grande glass,with acocktail cherry
Rum,Planter's punch,https://en.wikipedia.org/wiki/Planter%27s_punch,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Planters_Punch_2.jpg/250px-Planters_Punch_2.jpg,Mixed drink,Rum,45 mL Jamaican rum 15 mL lime juice 30 mL sugar cane sugar cane juice,Pour all ingredients directly in a small tumbler or a typical terracotta glass.,,Beverage glass,orangezest
Rum,Q.B. Cooler,https://en.wikipedia.org/wiki/Q.B._Cooler,,,,,,,,
Rum,Royal Bermuda,https://en.wikipedia.org/wiki/Royal_Bermuda_Yacht_Club#Cocktail,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Ensign_of_the_Royal_Bermuda_Yacht_Club.svg/250px-Ensign_of_the_Royal_Bermuda_Yacht_Club.svg.png,,,,,,,
Rum,Rum and Coke,https://en.wikipedia.org/wiki/Rum_and_Coke,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/15-09-26-RalfR-WLC-0056.jpg/250px-15-09-26-RalfR-WLC-0056.jpg,Cocktail,Rum,120 mL cola 50 mL white rum white rum 10 mL Fresh lime juice,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,On the rocks: poured over ice,Highball glass,Limewedge
Rum,Rum swizzle,https://en.wikipedia.org/wiki/Rum_swizzle,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Rum_Swizzle.jpg/250px-Rum_Swizzle.jpg,Cocktail,Rum,4oz. black rum 4oz. gold rum Juice of 2 lemons 5oz. pineapple juice 5oz orange juice 2oz. Bermuda falernum 6 dashes Angostura Bitters Angostura Bitters,"Mix in pitcher with crushed ice, shake vigorously until a frothing head appears. Strain into cocktail glasses. Garnish with a slice of orange and a cherry. Serves 6.",On the rocks: poured over ice,Rocks glass,
Rum,Suffering bastard,https://en.wikipedia.org/wiki/Suffering_bastard,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Suffering_Bastard_Cocktail.jpg/250px-Suffering_Bastard_Cocktail.jpg,,,30 mL Cognac /brandy or Bourbon 30 mL gin 15 mL fresh lime juice 2 dashes Angostura bitters top up ginger beer,"Pour all ingredients into a cocktail shaker except the ginger beer, shake well with ice, Pour unstrained into a Collins glass or in the original S. Bastard mug and top up with ginger beer.",On the rocks: poured over ice,Collins glass,mint springs [sic] and optionally an orange slice as well
Rum,Sumatra Kula,https://en.wikipedia.org/wiki/Sumatra_Kula,,,,,,,,
Rum,Test pilot,https://en.wikipedia.org/wiki/Test_pilot_(cocktail),,,,,,,,
Rum,Ti' punch,https://en.wikipedia.org/wiki/Ti%27_punch,,,,,,,,
Rum,Tom and Jerry,https://en.wikipedia.org/wiki/Tom_and_Jerry_(mixed_drink),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Tom_%26_Jerry_as_served_at_Karl_Ratzsch%27s%2C_Milwaukee.jpg/250px-Tom_%26_Jerry_as_served_at_Karl_Ratzsch%27s%2C_Milwaukee.jpg,Cocktail,,"Eggs or egg whites, powdered sugar, brandy, rum","Separate eggs. Beat egg whites until stiff. Mix egg yolks with powdered sugar. Put a spoonful of yolk mixture in cup, and mix with brandy and rum. Fold in some egg white, then add hot milk and top with more egg white. Stir gently to fold in the egg white. Top with Nutmeg.",Hot in a mug or bowl,Mug,
Rum,Trumptini,https://en.wikipedia.org/wiki/Trumptini,,Cocktail,"Bacardi Limon, Cointreau","1 ¼ ounces Bacardi Limon, ¾ ounce Cointreau 2 ounces sour mix Splash of cranberry juice","Straight: Pour all ingredients into mixing glass with ice cubes. Shake well. Strain in chilled martini cocktail glass, with a salt rim. Garnish with a ""T""-shaped slice of lemon peel and a scoop of salmon caviar",Straight up,Cocktail glass,"Lemon peelshaped like a ""T"";salmon caviar"
Rum,Tschunk,https://en.wikipedia.org/wiki/Tschunk,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Club-Mate_Logo.svg/250px-Club-Mate_Logo.svg.png,,,,,,,
Rum,Yellow bird,https://en.wikipedia.org/wiki/Yellow_bird_(cocktail),https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Yellow_Bird_at_Bar_Blanc%2C_Atlanta_GA.jpg/250px-Yellow_Bird_at_Bar_Blanc%2C_Atlanta_GA.jpg,Cocktail,Rum,3 cL white rum white rum 1.5 cL Galliano 1.5 cL triple sec triple sec 1.5 cL lime juice lime juice,"Pour all ingredients into a cocktail shaker, shake well with ice, strain into chilled cocktail glass","Straight up: chilled, without ice",Cocktail glass,
Rum,Zombie,https://en.wikipedia.org/wiki/Zombie_cocktail,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/ZombieCocktail.jpg/250px-ZombieCocktail.jpg,Cocktail,Rum,45 mL Jamaican dark rum 45 mL Puerto Rican gold rum 30 mL Demerara rum 20 mL fresh lime juice 15 mL falernum 15 mL Donn’s Mix (2 parts fresh yellow grapefruit juice and 1 part cinnamon syrup) 1 tsp Grenadine syrup 1 dash Angostura bitters Angostura bitters 6 drops Pernod,Add all ingredients into an electric blender with 170 grams of cracked ice. With pulse button blend for a few seconds. Serve in a tall tumbler glass.,On the rocks: poured over ice,Beverage glass,mint leaves
Sake,Sake bomb,https://en.wikipedia.org/wiki/Sake_bomb,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Sake_bomb_-_man_pounds_table_with_fist.jpg/250px-Sake_bomb_-_man_pounds_table_with_fist.jpg,Beer cocktail,"Beer,Sake",1 pint (~16 parts) beer 1 shot (1.5 parts) sake,"The shot of sake is dropped into the beer, causing it to fizz violently. The drink should then be consumed immediately.",Neat: undiluted and without ice,Apint glassand ashot glass.,
Sake,Saketini,https://en.wikipedia.org/wiki/Saketini,,,,,,,,
Sake,Tamagozake,https://en.wikipedia.org/wiki/Tamagozake,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/%E5%8D%B5%E9%85%92.png/250px-%E5%8D%B5%E9%85%92.png,Cocktail,Sake,Raw egg yolk sake Honey or sugar,The raw egg yolk and honey/sugar are mixed into 3/4 cup hot sake .,Hot,,
